Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Income
Bachelors,2017,Bangalore,3,34,Male,No,0,0,665258
Bachelors,2013,Pune,1,28,Female,No,3,1,1412017
Bachelors,2014,New Delhi,3,38,Female,No,2,0,613287
Masters,2016,Bangalore,3,27,Male,No,5,1,686911
Masters,2017,Pune,3,24,Male,Yes,2,1,521250
Bachelors,2016,Bangalore,3,22,Male,No,0,0,553707
Bachelors,2015,New Delhi,3,38,Male,No,0,0,553190
Bachelors,2016,Bangalore,3,34,Female,No,2,1,444446
Bachelors,2016,Pune,3,23,Male,No,1,0,430865
Masters,2017,New Delhi,2,37,Male,No,2,0,832353
Masters,2012,Bangalore,3,27,Male,No,5,1,402668
Bachelors,2016,Pune,3,34,Male,No,3,0,694507
Bachelors,2018,Pune,3,32,Male,Yes,5,1,694629
Bachelors,2016,Bangalore,3,39,Male,No,2,0,625417
Bachelors,2012,Bangalore,3,37,Male,No,4,0,444503
Bachelors,2017,Bangalore,1,29,Male,No,3,0,1343666
Bachelors,2014,Bangalore,3,34,Female,No,2,0,638533
Bachelors,2014,Pune,3,34,Male,No,4,0,634536
Bachelors,2015,Pune,2,30,Female,No,0,1,922293
Bachelors,2016,New Delhi,2,22,Female,No,0,1,849546
Bachelors,2012,Bangalore,3,37,Male,No,0,0,415281
Masters,2017,New Delhi,2,28,Male,No,4,0,920318
Bachelors,2017,New Delhi,2,36,Male,No,3,0,1054250
Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,598978
Bachelors,2017,Bangalore,3,29,Male,No,4,0,693075
Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,675598
Bachelors,2016,Bangalore,3,37,Male,No,2,0,580319
Bachelors,2015,Bangalore,3,23,Male,No,1,0,535769
Bachelors,2013,Pune,2,31,Female,No,2,1,908799
Masters,2017,New Delhi,2,30,Female,No,2,0,1032066
PHD,2013,New Delhi,3,25,Male,No,3,0,545820
Bachelors,2014,Bangalore,3,23,Male,No,1,0,585504
Bachelors,2018,Bangalore,3,26,Male,No,4,1,668902
Bachelors,2016,Bangalore,3,40,Male,No,5,0,470325
Bachelors,2017,Pune,2,37,Female,No,0,1,993361
Bachelors,2014,Bangalore,1,30,Female,No,3,0,1443408
Bachelors,2012,New Delhi,3,29,Male,No,3,0,666345
Bachelors,2018,New Delhi,2,34,Female,No,0,1,830474
Bachelors,2017,Pune,2,29,Female,No,2,1,1046549
Bachelors,2014,Pune,3,30,Male,Yes,4,0,457332
Bachelors,2015,Bangalore,3,36,Male,No,1,0,534609
Masters,2017,New Delhi,2,23,Male,No,1,0,835247
Bachelors,2013,Bangalore,3,30,Male,No,3,1,516131
Bachelors,2014,Bangalore,3,36,Male,No,0,0,560140
Bachelors,2015,Pune,3,39,Male,No,4,0,542527
Bachelors,2014,Bangalore,3,23,Female,No,1,0,497429
PHD,2012,New Delhi,3,27,Male,No,5,0,497207
Masters,2013,New Delhi,3,35,Male,No,2,0,473748
Masters,2017,New Delhi,2,34,Male,No,0,0,823220
Bachelors,2013,Bangalore,3,30,Female,No,1,0,461923
PHD,2017,New Delhi,3,34,Male,No,2,0,687603
Bachelors,2015,Pune,2,26,Female,No,4,1,1062427
Bachelors,2016,Bangalore,3,34,Female,No,0,0,539216
Bachelors,2014,Bangalore,3,31,Female,Yes,5,0,449327
Bachelors,2017,New Delhi,3,31,Female,Yes,5,0,469688
PHD,2013,New Delhi,3,28,Male,No,2,0,589916
Bachelors,2016,Bangalore,3,38,Male,No,2,0,543871
Masters,2014,Pune,3,39,Female,No,2,0,481257
Bachelors,2013,Pune,3,32,Male,No,4,0,632940
Masters,2017,Pune,2,36,Male,No,2,1,1036808
Masters,2013,New Delhi,3,29,Male,No,3,0,432124
Bachelors,2015,Bangalore,3,30,Male,No,5,0,662028
PHD,2013,Bangalore,2,25,Male,No,3,1,817573
Bachelors,2014,Pune,1,22,Female,No,0,1,1336223
Bachelors,2016,Bangalore,3,34,Male,No,4,0,402057
Bachelors,2018,Bangalore,3,40,Male,No,1,1,524903
PHD,2013,Bangalore,3,26,Male,No,4,0,639118
Bachelors,2014,New Delhi,3,28,Male,No,0,0,493878
Bachelors,2015,Bangalore,3,24,Female,No,2,0,422024
Masters,2017,Bangalore,3,40,Female,No,2,1,676328
Bachelors,2018,Bangalore,3,23,Female,No,1,1,617848
Masters,2017,Bangalore,3,31,Male,No,4,0,504603
Bachelors,2014,Pune,3,25,Female,No,3,0,583058
Bachelors,2014,Bangalore,1,27,Male,No,5,0,1318141
Masters,2017,New Delhi,2,25,Female,No,3,1,849756
Bachelors,2015,Bangalore,3,40,Male,No,0,1,628949
Bachelors,2014,Bangalore,1,23,Female,No,1,0,1257327
Bachelors,2017,Bangalore,3,23,Female,No,1,0,557353
Bachelors,2012,Bangalore,3,39,Male,No,1,0,401005
PHD,2015,New Delhi,1,37,Male,No,1,0,1462860
Bachelors,2017,Pune,3,38,Male,No,2,0,498955
Bachelors,2013,Bangalore,3,31,Female,No,0,1,565645
Bachelors,2016,Bangalore,3,38,Male,No,5,0,629758
Bachelors,2017,Bangalore,3,25,Female,No,3,0,585275
Bachelors,2015,Bangalore,3,27,Female,Yes,5,1,444197
Bachelors,2016,Pune,2,36,Male,No,0,1,1045031
Bachelors,2017,Pune,2,27,Female,No,5,1,1008028
Masters,2015,Pune,2,32,Female,No,4,0,1016921
Bachelors,2014,Bangalore,3,28,Male,No,4,0,496745
Masters,2012,New Delhi,3,32,Male,No,2,0,477429
Bachelors,2018,Bangalore,3,30,Male,No,0,1,405669
Bachelors,2015,New Delhi,3,22,Male,No,0,0,486625
Bachelors,2017,New Delhi,2,34,Female,No,5,0,1092658
Masters,2013,New Delhi,3,36,Male,No,2,0,483936
Bachelors,2014,Bangalore,3,39,Male,No,3,1,611737
PHD,2018,Bangalore,3,26,Male,No,4,1,646603
Bachelors,2016,Bangalore,3,31,Female,No,0,0,481940
Bachelors,2014,Bangalore,3,27,Male,No,5,1,533235
Bachelors,2014,Bangalore,3,29,Female,No,0,0,509223
Bachelors,2015,Bangalore,3,24,Female,No,2,1,457798
Masters,2012,Pune,3,25,Male,No,3,1,427635
Bachelors,2013,Pune,3,25,Male,No,3,0,562393
Masters,2017,New Delhi,3,26,Female,No,4,1,634849
Bachelors,2015,Pune,2,28,Female,Yes,1,1,865978
Bachelors,2017,New Delhi,3,28,Male,No,2,0,551888
Masters,2015,Pune,1,28,Female,No,3,1,1452505
Masters,2015,New Delhi,3,25,Male,No,3,0,485150
Bachelors,2017,Bangalore,3,28,Male,No,1,0,484001
Masters,2013,Pune,3,25,Male,No,3,0,494909
Bachelors,2015,Bangalore,2,25,Female,No,3,1,1076488
Bachelors,2015,Bangalore,3,27,Female,No,5,0,487539
Bachelors,2017,Pune,2,27,Female,No,5,1,964454
Bachelors,2013,Bangalore,3,27,Male,No,5,1,698433
Bachelors,2012,Bangalore,3,25,Male,No,3,0,607706
Masters,2017,New Delhi,2,28,Male,No,2,0,818772
Bachelors,2014,Pune,1,26,Female,No,4,1,1406755
Bachelors,2015,Bangalore,3,28,Male,No,2,0,442983
Masters,2013,New Delhi,3,26,Male,No,4,0,631723
Bachelors,2017,Bangalore,3,26,Female,No,4,0,400985
Bachelors,2017,New Delhi,2,25,Male,No,3,0,1069523
Bachelors,2012,Bangalore,1,28,Female,No,3,0,1235324
PHD,2015,New Delhi,3,26,Male,No,4,0,455884
Bachelors,2015,New Delhi,3,25,Female,No,3,0,578664
Bachelors,2012,Bangalore,3,26,Male,No,4,1,678984
Bachelors,2014,Bangalore,3,28,Female,No,3,0,594195
Masters,2014,Pune,3,24,Male,No,2,0,405091
Bachelors,2013,Bangalore,3,28,Male,No,1,0,571450
Bachelors,2015,Pune,3,27,Male,No,5,0,512778
Bachelors,2018,Bangalore,3,25,Male,No,3,1,449541
Masters,2013,Pune,1,24,Male,No,2,1,1308073
Bachelors,2017,Bangalore,3,26,Female,No,4,0,694487
Bachelors,2013,Bangalore,3,28,Male,No,1,1,650322
Masters,2016,New Delhi,3,27,Male,No,5,0,637038
Masters,2017,Bangalore,3,26,Male,No,4,0,478402
Masters,2017,New Delhi,2,24,Male,No,2,0,886281
Masters,2018,New Delhi,3,26,Male,No,4,1,649624
Masters,2017,New Delhi,1,25,Female,No,3,1,1405279
Bachelors,2012,Pune,3,28,Male,No,2,0,634859
Bachelors,2017,New Delhi,3,28,Male,No,2,0,654824
Bachelors,2013,Bangalore,3,26,Male,No,4,0,631644
Masters,2013,New Delhi,3,27,Male,No,5,1,491542
Bachelors,2017,Pune,2,24,Female,No,2,1,897687
Bachelors,2017,New Delhi,3,28,Female,No,2,0,597155
Bachelors,2016,Bangalore,3,26,Male,No,4,0,592028
Bachelors,2013,Bangalore,3,27,Female,No,5,0,419490
Masters,2015,Pune,2,28,Female,No,3,0,998106
Bachelors,2014,Bangalore,3,25,Male,No,3,0,588793
Bachelors,2016,Pune,3,28,Male,No,1,0,675099
Masters,2013,Bangalore,1,25,Male,No,3,1,1211202
Bachelors,2015,Pune,3,26,Male,No,4,0,458370
Bachelors,2018,New Delhi,3,27,Female,No,5,1,689679
Bachelors,2016,Bangalore,3,24,Male,No,2,1,677487
Bachelors,2012,Pune,2,24,Female,No,2,1,1097713
Bachelors,2014,Bangalore,3,26,Male,No,4,0,474876
Bachelors,2016,Pune,2,24,Female,No,2,1,1010518
Masters,2012,New Delhi,3,26,Female,No,4,0,578492
Bachelors,2013,Bangalore,3,28,Female,No,3,0,510138
Bachelors,2012,Bangalore,3,24,Male,No,2,1,665351
Bachelors,2015,Bangalore,3,25,Male,No,3,1,586470
Bachelors,2016,Bangalore,3,28,Male,No,3,0,563121
Bachelors,2014,Bangalore,3,28,Female,No,3,0,565275
Bachelors,2013,Bangalore,3,26,Female,No,4,0,433504
Masters,2017,New Delhi,3,24,Female,No,2,1,681110
Bachelors,2016,Bangalore,3,25,Male,No,3,1,542114
Bachelors,2015,Bangalore,3,25,Male,No,3,0,416846
Bachelors,2014,Bangalore,3,27,Male,No,5,0,635359
Bachelors,2012,Bangalore,3,24,Male,No,2,0,534979
Bachelors,2014,Bangalore,3,25,Male,No,3,0,510083
Bachelors,2015,Bangalore,3,28,Male,No,3,0,409582
Masters,2015,New Delhi,3,26,Male,No,4,1,563808
Bachelors,2014,New Delhi,3,28,Female,No,1,0,538522
Bachelors,2015,Pune,3,25,Male,No,3,0,516869
Masters,2015,Pune,2,28,Female,No,2,0,923261
Bachelors,2014,Bangalore,3,27,Female,No,5,0,603994
Bachelors,2013,Bangalore,3,26,Male,No,4,0,678032
Bachelors,2016,Bangalore,3,26,Male,No,4,0,632581
Bachelors,2012,Bangalore,3,25,Male,No,3,0,691673
Bachelors,2015,Bangalore,3,25,Male,No,3,0,483264
Bachelors,2014,New Delhi,3,24,Female,No,2,0,651696
Bachelors,2012,Bangalore,3,27,Male,No,5,1,426786
Masters,2017,New Delhi,3,27,Male,No,5,1,564934
Bachelors,2015,Pune,3,27,Male,No,5,0,578389
Bachelors,2018,Bangalore,3,24,Male,No,2,1,441506
Masters,2017,New Delhi,3,27,Male,No,5,1,403521
Masters,2017,New Delhi,2,28,Female,No,1,1,826097
Masters,2017,Pune,2,24,Male,No,2,1,1006210
Masters,2016,New Delhi,3,25,Female,No,3,1,617180
PHD,2015,New Delhi,3,28,Female,No,1,0,631333
Bachelors,2017,New Delhi,2,26,Male,No,4,0,870389
Bachelors,2013,Bangalore,2,27,Male,No,5,0,889661
Bachelors,2015,Bangalore,3,26,Male,No,4,0,536605
Bachelors,2015,Bangalore,3,26,Male,No,4,0,684410
Bachelors,2013,Bangalore,3,28,Male,No,1,0,697314
Bachelors,2015,Bangalore,3,27,Female,No,5,0,519808
Bachelors,2013,New Delhi,3,25,Female,No,3,0,564511
Bachelors,2013,Pune,3,28,Male,No,1,0,633467
Bachelors,2017,Pune,3,24,Male,No,2,0,656707
Bachelors,2013,New Delhi,3,27,Female,No,5,0,626130
Bachelors,2015,Bangalore,3,28,Male,Yes,2,0,578663
Bachelors,2015,Pune,3,28,Male,No,3,0,425089
Bachelors,2014,Pune,2,25,Female,No,3,1,991384
Bachelors,2014,Bangalore,3,25,Male,No,3,0,667045
Bachelors,2017,Bangalore,3,27,Male,No,5,0,529881
Bachelors,2014,Pune,2,26,Female,No,4,1,825561
PHD,2013,New Delhi,3,24,Male,No,2,0,443702
Bachelors,2015,Pune,2,26,Female,No,4,1,1066778
Bachelors,2017,Bangalore,3,25,Male,No,3,0,436156
Masters,2013,Pune,2,27,Male,No,5,1,945029
Masters,2017,Bangalore,3,28,Male,No,2,0,647653
Bachelors,2012,Bangalore,3,25,Male,No,3,1,541868
Bachelors,2017,Bangalore,3,27,Male,No,5,0,567967
Masters,2017,Pune,2,27,Female,No,5,0,1014842
Masters,2013,Bangalore,2,28,Female,No,2,1,920025
Masters,2017,Pune,3,28,Male,No,1,1,483994
Bachelors,2018,Bangalore,3,27,Female,No,5,1,423586
Bachelors,2014,New Delhi,3,25,Female,No,3,0,556817
Masters,2017,New Delhi,3,27,Male,No,5,1,675431
Masters,2013,New Delhi,3,26,Male,No,4,1,482587
Bachelors,2013,Pune,2,25,Female,No,3,1,910443
Masters,2012,New Delhi,3,26,Male,No,4,1,494543
Bachelors,2016,Bangalore,3,25,Male,No,3,1,675767
Bachelors,2013,Pune,2,26,Male,No,4,0,975551
Bachelors,2018,Bangalore,3,28,Female,No,2,1,673347
Bachelors,2013,Bangalore,3,27,Male,No,5,0,602621
Bachelors,2015,Pune,1,24,Female,Yes,2,1,1204029
Bachelors,2013,Pune,3,28,Male,No,2,0,517011
Bachelors,2015,Pune,2,27,Female,Yes,5,1,940288
Bachelors,2018,Bangalore,3,25,Male,No,3,1,598170
Bachelors,2014,Pune,2,27,Female,No,5,1,812522
Bachelors,2013,Pune,3,24,Male,No,2,0,612787
Bachelors,2014,Pune,3,24,Male,No,2,0,640225
PHD,2015,New Delhi,2,25,Female,No,3,0,964227
Bachelors,2014,Bangalore,3,26,Male,Yes,4,0,417531
Bachelors,2018,Bangalore,3,24,Male,No,2,1,631312
Masters,2015,Pune,2,25,Female,No,3,0,1071612
Bachelors,2015,Bangalore,3,24,Male,No,2,0,687589
Bachelors,2014,New Delhi,3,24,Female,No,2,0,563070
Masters,2017,Bangalore,2,26,Female,No,4,1,895730
Bachelors,2012,New Delhi,3,28,Male,No,1,0,653060
Masters,2017,Pune,2,26,Female,No,4,0,833207
Bachelors,2016,Pune,3,25,Male,No,3,0,428287
Bachelors,2017,New Delhi,3,24,Male,No,2,1,637993
Bachelors,2013,Pune,2,28,Female,No,3,1,1083872
Bachelors,2014,Bangalore,3,25,Female,No,3,1,634576
Bachelors,2014,Bangalore,3,25,Male,No,3,0,674847
Bachelors,2014,Pune,2,24,Female,No,2,1,963170
Bachelors,2015,Bangalore,3,28,Male,No,2,1,548507
Bachelors,2015,Bangalore,3,27,Male,No,5,0,478869
Bachelors,2016,Pune,3,26,Male,No,4,0,573602
Masters,2015,New Delhi,3,26,Female,No,4,1,671706
Bachelors,2016,Bangalore,1,28,Female,No,2,0,1280938
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,484469
Bachelors,2014,Bangalore,3,27,Male,No,5,0,499647
Bachelors,2017,Bangalore,3,28,Male,No,2,0,552507
Masters,2018,New Delhi,3,24,Female,Yes,2,1,470106
Bachelors,2017,Pune,2,25,Male,No,3,0,1025612
Bachelors,2018,Pune,2,24,Female,No,2,1,907602
Masters,2017,New Delhi,2,28,Female,No,1,0,1000190
Bachelors,2013,New Delhi,1,27,Female,No,5,0,1440644
Bachelors,2017,New Delhi,2,27,Female,No,5,0,1072024
Bachelors,2017,Bangalore,3,28,Male,No,1,0,646279
Bachelors,2016,Pune,2,27,Female,No,5,1,872887
Masters,2018,Bangalore,3,24,Male,No,2,1,506961
Bachelors,2012,Pune,1,26,Male,No,4,0,1307526
Bachelors,2016,Bangalore,3,26,Male,No,4,0,669173
Masters,2016,New Delhi,1,27,Male,No,5,0,1225315
Bachelors,2015,New Delhi,3,26,Female,No,4,0,580346
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0,422221
Bachelors,2013,Bangalore,3,24,Male,Yes,2,1,462528
Bachelors,2018,Bangalore,3,26,Female,No,4,1,598149
Masters,2017,Pune,2,26,Female,No,4,1,1077393
Masters,2017,New Delhi,2,28,Female,No,2,0,995704
Bachelors,2013,Pune,3,28,Male,No,1,0,447237
Masters,2013,New Delhi,3,25,Male,No,3,0,563477
Bachelors,2018,Bangalore,3,28,Female,Yes,1,1,456995
Bachelors,2013,Pune,3,27,Female,No,5,1,696278
Bachelors,2012,Bangalore,3,25,Male,No,3,0,420840
Bachelors,2014,Bangalore,3,28,Male,No,1,0,466942
Bachelors,2017,New Delhi,3,28,Female,No,3,0,610960
Masters,2017,New Delhi,2,28,Male,Yes,2,0,804218
Bachelors,2014,Bangalore,3,25,Male,No,3,0,514688
Masters,2017,New Delhi,3,26,Male,No,4,0,438506
Bachelors,2015,Pune,1,25,Female,No,3,1,1292891
Masters,2013,New Delhi,3,27,Male,No,5,0,646265
PHD,2014,Bangalore,3,24,Female,No,2,0,647261
Masters,2017,New Delhi,2,27,Female,No,5,0,1014377
Bachelors,2018,Bangalore,3,26,Male,No,4,1,528376
Bachelors,2012,Bangalore,3,26,Male,No,4,0,514598
Masters,2015,Pune,3,27,Female,No,5,1,649232
Bachelors,2018,Bangalore,3,26,Male,No,4,1,498251
Bachelors,2016,Bangalore,3,24,Male,No,2,0,424997
Masters,2017,New Delhi,2,25,Female,No,3,0,816658
Bachelors,2017,New Delhi,2,28,Male,No,1,0,837232
Bachelors,2012,New Delhi,3,27,Female,No,5,0,616519
Masters,2013,New Delhi,3,26,Male,No,4,1,586464
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,620828
Bachelors,2014,Pune,3,28,Male,No,2,0,664271
Bachelors,2016,Bangalore,3,24,Female,No,2,1,689242
Bachelors,2012,Bangalore,3,28,Male,No,3,0,672833
Bachelors,2012,Bangalore,3,27,Male,No,5,0,599517
Bachelors,2013,Bangalore,3,26,Male,No,4,0,509544
Bachelors,2014,New Delhi,3,28,Female,No,1,0,462712
Bachelors,2014,New Delhi,3,27,Female,Yes,5,0,402589
Bachelors,2015,Pune,3,26,Female,Yes,4,1,515176
Masters,2014,New Delhi,3,26,Male,No,4,1,504603
PHD,2015,New Delhi,3,25,Female,No,3,0,594833
Masters,2015,New Delhi,3,25,Male,No,3,0,570822
Bachelors,2012,Pune,3,27,Male,No,5,0,481848
Masters,2017,New Delhi,2,24,Female,No,2,0,912308
Bachelors,2016,Bangalore,3,24,Male,No,2,0,691193
Masters,2015,Pune,3,28,Female,No,2,0,577712
Bachelors,2017,Bangalore,3,24,Female,No,2,0,632753
Bachelors,2017,Pune,3,25,Male,No,3,0,441171
Bachelors,2017,Bangalore,1,25,Male,No,3,0,1287508
Masters,2015,Pune,3,28,Female,No,2,0,631030
Bachelors,2017,Pune,3,26,Male,No,4,0,566608
Bachelors,2014,Pune,3,24,Male,No,2,0,572791
Bachelors,2014,Pune,3,25,Female,No,3,1,519644
Bachelors,2018,Pune,3,26,Female,No,4,1,650549
Bachelors,2016,Bangalore,3,27,Male,No,5,0,544807
